feature_1,feature_2,dependency
RETRANSMITTED_OUT_BYTES,ICMP_TYPE,0.2654299967583447
RETRANSMITTED_OUT_PKTS,TCP_WIN_MAX_OUT,0.2644936877437271
IN_PKTS,NUM_PKTS_128_TO_256_BYTES,0.2643399643958263
IN_PKTS,RETRANSMITTED_OUT_PKTS,0.2642159785931549
SRC_TO_DST_AVG_THROUGHPUT,NUM_PKTS_256_TO_512_BYTES,0.2631422240904203
RETRANSMITTED_OUT_BYTES,TCP_WIN_MAX_OUT,0.262575149696322
OUT_BYTES,RETRANSMITTED_OUT_PKTS,0.2623906326740722
DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_OUT_PKTS,0.2614731387152813
RETRANSMITTED_OUT_BYTES,NUM_PKTS_UP_TO_128_BYTES,0.25853407733530087
RETRANSMITTED_OUT_PKTS,NUM_PKTS_UP_TO_128_BYTES,0.2580901340422793
IN_PKTS,DURATION_OUT,0.2578741322628407
SERVER_TCP_FLAGS,RETRANSMITTED_OUT_PKTS,0.25412583953399326
SERVER_TCP_FLAGS,RETRANSMITTED_OUT_BYTES,0.2540223253022101
SRC_TO_DST_SECOND_BYTES,ICMP_TYPE,0.2535325282009433
SRC_TO_DST_SECOND_BYTES,ICMP_IPV4_TYPE,0.2535325177957414
TCP_FLAGS,SHORTEST_FLOW_PKT,0.2533523706977385
RETRANSMITTED_OUT_BYTES,NUM_PKTS_256_TO_512_BYTES,0.2525176426815712
SRC_TO_DST_AVG_THROUGHPUT,NUM_PKTS_512_TO_1024_BYTES,0.24955746026089407
SHORTEST_FLOW_PKT,TCP_WIN_MAX_IN,0.24895972504894465
RETRANSMITTED_OUT_PKTS,NUM_PKTS_256_TO_512_BYTES,0.24538021397545873
NUM_PKTS_128_TO_256_BYTES,ICMP_IPV4_TYPE,0.24274757245767492
NUM_PKTS_128_TO_256_BYTES,ICMP_TYPE,0.24274755724845193
MAX_TTL,TCP_WIN_MAX_IN,0.2425288219758757
MIN_TTL,TCP_WIN_MAX_IN,0.2417853419967818
RETRANSMITTED_OUT_BYTES,FTP_COMMAND_RET_CODE,0.24114920189160743
SRC_TO_DST_SECOND_BYTES,RETRANSMITTED_IN_BYTES,0.24025341598865874
LONGEST_FLOW_PKT,ICMP_IPV4_TYPE,0.23867232726316936
MAX_IP_PKT_LEN,ICMP_IPV4_TYPE,0.23867232726316936
